To be published,EventID,Event Date/Time,DateTime,Latitude,Longitude,environment (biome),environment (material),environment (feature),project name,Marine Region,SiteID,Sampling Platform,Depth,Protocol Label,Temperature,Salinity,Sampling Campaign,SAMPLE_Investigators,SAMPLE_Objective,EVENT_Device,EVENT_Method,EVENT_Comment,SAMPLE_Quantity,SAMPLE_FiltrationTime,SAMPLE_Container,SAMPLE_Content,SAMPLE_Size-Fraction_UpperThreshold,SAMPLE_Size-Fraction_LowerThreshold,SAMPLE_Treatment_Chemicals,SAMPLE_Treatment_Storage
1,OSD170_2018-06,2018-06-20T07:05:28Z/2018-06-20T07:11:23Z,2018-06-20T07:05:28Z,51.27,2.91,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD170,RV Simon Stevin,3,NPL022,17.08,32.16,OSD-Jun-2018,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 130,0.48,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86
1,OSD171_2018-06,2018-06-20T07:47:03Z/2018-06-20T07:51:28Z,2018-06-20T07:47:03Z,51.31,2.85,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD171,RV Simon Stevin,3,NPL022,16.85,32.42,OSD-Jun-2018,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 230,0.66,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86
1,OSD175_2018-06,2018-06-20T10:46:48Z/2018-06-20T10:47:33Z,2018-06-20T10:46:48Z,51.33,2.50,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD175,RV Simon Stevin,3,NPL022,15.59,32.42,OSD-Jun-2018,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site ZG02,1.02,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86
1,OSD176_2018-06,2018-06-20T11:36:53Z/2018-06-20T11:41:33Z,2018-06-20T11:36:53Z,51.28,2.61,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD176,RV Simon Stevin,3,NPL022,16.24,33.78,OSD-Jun-2018,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 215,0.90,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86
1,OSD177_2018-06,2018-06-20T12:59:23Z/2018-06-20T13:02:03Z,2018-06-20T12:59:23Z,51.18,2.70,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD177,RV Simon Stevin,3,NPL022,17.04,33.31,OSD-Jun-2018,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 120,0.60,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86
1,OSD178_2018-06,2018-06-25T10:42:51Z/2018-06-25T10:42:51Z,2018-06-25T10:42:51Z,51.58,2.79,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD178,RV Simon Stevin,3,NPL022,16.11,33.56,OSD-Jun-2018,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 435,0.60,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86
1,OSD179_2018-06,2018-06-26T00:31:19Z/2018-06-26T00:31:19Z,2018-06-26T00:31:19Z,51.57,2.26,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD179,RV Simon Stevin,3,NPL022,14.88,34.73,OSD-Jun-2018,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site LW01,0.48,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86
0,OSD18_2018-06,2018-06-25T09:45:00Z/2018-06-25T10:35:00Z,2018-06-25T09:45:00Z,35.36,33.30,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25196,OSD18,RV TEAL Jr,65,NPL022,18.41,39.37,OSD-Jun-2018,"SERAKINCI, Nedime, Near East University, nedimeserakinci@gmail.com",not provided,5L Niksin bottle / CTD,10 consecutive Niskin deployed (total:50 lt of sampled seawater),OSD sampling carried out on 25/06/2018 due to local atmospheric conditions,not provided,not provided,not provided,not provided,not provided,0.22,no treatment,not provided
1,OSD180_2018-06,2018-06-25T21:59:09Z/2018-06-25T21:59:30Z,2018-06-25T21:59:09Z,51.80,2.56,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD180,RV Simon Stevin,3,NPL022,14.67,34.70,OSD-Jun-2018,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site LW02,0.48,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86
1,OSD182_2018-06,2018-06-26T01:27:04Z/2018-06-26T01:27:04Z,2018-06-26T01:27:04Z,51.46,2.35,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD182,RV Simon Stevin,3,NPL022,15.42,34.53,OSD-Jun-2018,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site W08,0.48,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86
1,OSD183_2018-06,2018-06-25T21:10:44Z/2018-06-25T21:10:49Z,2018-06-25T21:10:44Z,51.75,2.70,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD183,RV Simon Stevin,3,NPL022,15.09,34.57,OSD-Jun-2018,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site W09,0.42,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86
1,OSD184_2018-06,2018-06-25T23:12:24Z/2018-06-25T23:12:24Z,2018-06-25T23:12:24Z,51.68,2.42,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD184,RV Simon Stevin,3,NPL022,14.71,34.66,OSD-Jun-2018,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site W10,0.42,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86
1,OSD185_2018-06,2018-06-26T02:04:34Z/2018-06-26T02:04:34Z,2018-06-26T02:04:34Z,51.48,2.45,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD185,RV Simon Stevin,3,NPL022,15.76,34.22,OSD-Jun-2018,"MORTELMANS,Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 421,0.42,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86
1,OSD2_2018-06,2018-06-22T12:45:00Z/2018-06-22T12:55:00Z,2018-06-22T12:45:00Z,48.78,-3.94,neritic epipelagic zone biome [ENVO:01000042], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,OSD2,RV Neomysis,1,NPL022,13.52,34.94,OSD-Jun-2018,"JEANTHON, Christian/ GARCZAREK, Laurence /CARIOU, Thierry, Station Biologique de Roscoff, jeanthon@sb-roscoff.fr/ garczare@sb-roscoff.fr/ cariou@sb-roscoff.fr",not provided,Hand pump,not provided,A few wind and sunny,5.25,50,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD210_2018-06,2018-06-21T07:30:00Z/2018-06-21T07:45:00Z,2018-06-21T07:30:00Z,43.11,3.08,coastal wetland ecosystem [ENVO:00000230], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,OSD210,not provided,0,NPL022,25.40,28.50,OSD-Jun-2018,"CONAN, Pascal/ BEIER, Sara, Leibniz Institute for Baltic Sea Research (in collaboration with the Observatoire Oceanologique de Banyuls sur Mer), conan@obs-banyuls.fr/ sara.beier@io-warnemuende.de",frequently monitored coastal lagoons,acid washed carboy,sampling and sterivex filtration,not provided,2.80,60,Sterivex,not provided,no prefiltration,0.22,no treatment,-80
1,OSD211_2018-06,2018-06-21T08:30:00Z/2018-06-21T08:45:00Z,2018-06-21T08:30:00Z,42.97,3.00,coastal wetland ecosystem [ENVO:00000230], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,OSD211,not provided,0,NPL022,26.20,14.80,OSD-Jun-2018,"CONAN, Pascal/ BEIER, Sara, Leibniz Institute for Baltic Sea Research (in collaboration with the Observatoire Oceanologique de Banyuls sur Mer), conan@obs-banyuls.fr/ sara.beier@io-warnemuende.de",frequently monitored coastal lagoons,not provided,not provided,not provided,1.10,60,Sterivex,not provided,no prefiltration,0.22,no treatment,-80
1,OSD212_2018-06,2018-06-21T10:44:00Z/2018-06-21T10:47:00Z,2018-06-21T10:44:00Z,55.73,12.58,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=5674,OSD212,Harbour pier,0,NPL022,15.90,21.00,OSD-Jun-2018,"SONNENSCHEIN, Eva C./ DITTMAN, Karen K., Technical University of Denmark, eva.c.sonnenschein@gmail.com/ kardit@dtu.dk",monitoring of often sampled site for isolation of bioactive marine bacteria,Sterile 10L Nalgene carboy,Nalgene carboy was submerged into surface water,windy and water rather clear,0.50,440,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD214_2018-06,not provided,not provided,35.21,-2.85,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25602,OSD214,not provided,not provided,NPL022,not provided,not provided,OSD-Jun-2018,"GHAZAL, Hassan/  CHAOUNI, Bouchra, Faculty of Sciences of Oujda, hassan.ghazal@fulbrightmail.org/ bouchrachaouni@gmail.com",not provided,5L bucket,the water was collected in a 5L buckets in a specific geolocation using a boat,not provided,not provided,not provided,Cryovial 5ml,particulate matter on a 142 mm PC membrane,no prefiltration,0.22,no treatment,-80
1,OSD216_2018-06,2018-06-21T11:00:00Z/2018-06-21T11:00:00Z,2018-06-21T11:00:00Z,43.76,13.21,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25615,OSD216,Tecnopesca boat,0,NPL022,not provided,not provided,OSD-Jun-2018,"LUNA, Gian Marco/QUERO, Grazia Marina, CNR-ISMAR. Ancona. Italy. CNR-ISMAR. Venice. Italy, gianmarco.luna@ve.ismar.cnr.it/ grazia.quero@szn.it",not provided,5L Single bottle,Pump,not provided,0.70,20,Sterivex,particulate matter on 0.22μm pore size filter,no prefiltration,0.22,no treatment,-80
1,OSD217_2018-06,2018-06-21T13:45:00Z/2018-06-21T16:05:00Z,2018-06-21T13:45:00Z,44.50,-63.52,neritic epipelagic zone biome [ENVO:01000042], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25356,OSD217,Dock,0,NPL022,10.00,22.00,OSD-Jun-2018,"GUSSET, Dominique/ TOLMAN, Jennifer/ LAROCHE, Julie, Dalhousie University, dominiquegusset@gmail.com/ j.tolman@dal.ca/ julei.laroche@dal.ca",not provided,OSD 5 galon bucket,collect at surface,filter with syringe,0.85,20,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD218_2018-06,2018-06-21T13:15:00Z/2018-06-21T19:35:00Z,2018-06-21T13:15:00Z,43.94,-60.00,neritic epipelagic zone biome [ENVO:01000042], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=18834,OSD218,Shore,1,NPL022,14.00,33.00,OSD-Jun-2018,"LUCAS, Zoe/ TOLMAN, Jennifer/ LAROCHE, Julie, Dalhousie University, zoelucas@greenhorsesociety.com/ j.tolman@da.ca/ julie.laroche@dal.ca",not provided,Bucket,Collect at surface (~60 cm depth),filter with syringe,2.00,106,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80 and held for 3 days at -20
1,OSD219_2018-06,2018-06-21T12:12:00Z/2018-06-21T12:22:00Z,2018-06-21T12:12:00Z,53.24,-9.31,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25361,OSD219,not provided,0,NPL022,not provided,not provided,OSD-Jun-2018,"ALLCOCK, Louise/ EDWARDS, Maeve, Ryan Institute and School of Natural Sciences, louise.allcock@nuigalway.ie/ maeve.edwards@nuigalway.ie",not provided,Bucket,Suface sample,overcast and northerly breeze,2.50,23,not provided,not provided,not provided,0.22,no treatment,not provided
1,OSD22_2018-06,2018-06-20T11:30:00Z/2018-06-20T12:40:00Z,2018-06-20T11:30:00Z,43.24,5.29,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,OSD22,Reasearch boat Antedon II,2,NPL022,18.87,38.06,OSD-Jun-2018,"VANNIER, Thomas, Mediterranean Institute of Oceanography. OSU Pytheas/Centre Nationale Recherche Scientific, thomas.vannier@mio.osupytheas.fr",collecting Prokaryotes on 0.22μm pore size filters using Sterivex carbidges,Niskin bottle,not provided,not provided,6.00,60,Sterivex,particulate matter on the filter,not provided,0.22,no treatment,-80
1,OSD220_2018-06,2018-06-21T09:40:00Z/2018-06-21T12:00:00Z,2018-06-21T09:40:00Z,42.23,-8.78,temperate marine upwelling biome [ENVO:01000860], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25366,OSD220,not provided,1,NPL022,18.40,35.22,OSD-Jun-2018,"SOUZA TRONCOSO, Jesús/GONZALEZ FERNANDEZ, Jose, University of Vigo, troncoso@uvigo.es/ josegonzalez@uvigo.es",not provided,not provided,Niskin bottle,not provided,1.40,18,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD223_2018-06,2018-06-21T13:20:00Z/2018-06-21T13:30:00Z,2018-06-21T13:20:00Z,54.49,18.57,marginal sea biome [ENVO:01000046], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25674,OSD223,not provided,0,NPL022,18.90,6.60,OSD-Jun-2018,"LASOTA, Rafal, University of Gdansk, ocerl@ug.edu.pl",Prokaryotes,10% acid washed buckets,Filters 1 and 2 with water vacuum pump. Filters 3 and 4 with mechanical vacuum pump,not provided,1.30,30,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD227_2018-06,2018-06-21T11:40:00Z/2018-06-21T11:46:00Z,2018-06-21T11:40:00Z,48.67,-3.89,estuarine biome [ENVO:01000020], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,OSD227,RV Neomysis,1,NPL022,14.74,34.70,OSD-Jun-2018,"COMTET, Thierry, Station Biologique de Roscoff. France, comtet@sb-roscoff.fr",not provided,Hand pump,not provided,NE wind 25-30km/h sunny all filters are coloured light brown time of filtration (UTC) 13:10,2.76,30,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD228_2018-06,2018-06-21T09:00:00Z/2018-06-21T17:00:00Z,2018-06-21T09:00:00Z,35.46,24.20,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3339,OSD228,HCMR dinghy boat,not provided,NPL022,25.35,38.84,OSD-Jun-2018,"KRISTALLAS, Apostolos/ DARIVIANAKIS, Stelios/ MAIDANOU, Maria, Hellenic Centre for Marine Research, kristallas@hcmr.gr/ daris@hcmr.gr/ mariam@hcmr.gr","surface water sampling (100lt), CTD cost, zooplankton net sampling",Niskin bottles / CTD / zooplankton net,surface water sampling with niskin 100lt CTD cost / vertical sampling zooplankton,not provided,not provided,not provided,not provided,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD229_2018-06,2018-06-21T09:00:00Z/2018-06-21T17:00:00Z,2018-06-21T09:00:00Z,35.55,24.31,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3339,OSD229,HCMR dinghy boat,not provided,NPL022,not provided,not provided,OSD-Jun-2018,"KRISTALLAS, Apostolos/ DARIVIANAKIS, Stelios/ MAIDANOU, Maria, Hellenic Centre for Marine Research, kristallas@hcmr.gr/ daris@hcmr.gr/ mariam@hcmr.gr","surface water sampling (100lt), CTD cost, zooplankton net sampling",Niskin bottles / CTD / zooplankton net,surface water sampling with niskin 100lt CTD cost / vertical sampling zooplankton,not provided,not provided,not provided,not provided,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD231_2018-06,2018-06-21T10:00:00Z/2018-06-21T12:00:00Z,2018-06-21T10:00:00Z,37.87,12.48,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3568,OSD231,not provided,1,NPL022,not provided,not provided,OSD-Jun-2018,"LA CONO, Violetta/  YAKIMOV, Michail, Institute for Coastal Marine Environments. CNR. Messina. Italy, violetta.lacono@iamc.cnr.it/ michail.yakimov@iamc.cnr.it",not provided,not provided,not provided,not provided,not provided,40,tube,DNA,no prefiltration,0.22,no treatment,+4
