EventID,SampleID,SampleID_ENA,SiteID,DateTime,Latitude,Longitude,environment (biome),environment (material),environment (feature),project name,Marine Region,Sampling Platform,Depth,Depth_unit,Depth_unitUrl,Depth_flag,Protocol Label,Sampling Campaign,SAMPLE_Objective,EVENT_Device,EVENT_Method,EVENT_Comment,SAMPLE_Quantity,SAMPLE_Quantity_unit,SAMPLE_Quantity_unitUrl,SAMPLE_Quantity_flag,SAMPLE_FiltrationTime,SAMPLE_FiltrationTime_unit,SAMPLE_FiltrationTime_unitUrl,SAMPLE_FiltrationTime_flag,SAMPLE_Container,SAMPLE_Content,SAMPLE_Size-Fraction_UpperThreshold,SAMPLE_Size-Fraction_LowerThreshold,SAMPLE_Size-Fraction_LowerThreshold_unit,SAMPLE_Size-Fraction_LowerThreshold_unitUrl,SAMPLE_Size-Fraction_LowerThreshold_flag,SAMPLE_Treatment_Chemicals,SAMPLE_Treatment_Storage,Temperature,Temperature_unit,Temperature_unitUrl,Temperature_flag,Salinity,Salinity_unit,Salinity_unitUrl,Salinity_flag,CTD_Conductivity,CTD_Conductivity_unit,CTD_Conductivity_unitUrl,CTD_Conductivity_flag,CTD_Fluorescence,CTD_Fluorescence_unit,CTD_Fluorescence_unitUrl,CTD_Fluorescence_flag,CTD_Depth,CTD_Depth_unit,CTD_Depth_unitUrl,CTD_Depth_flag,Seawater Nutrients Concentration_Ammonium,Seawater Nutrients Concentration_Ammonium_unit,Seawater Nutrients Concentration_Ammonium_unitUrl,Seawater Nutrients Concentration_Ammonium_flag,Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrate_unit,Seawater Nutrients Concentration_Nitrate_unitUrl,Seawater Nutrients Concentration_Nitrate_flag,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Nitrite_unit,Seawater Nutrients Concentration_Nitrite_unitUrl,Seawater Nutrients Concentration_Nitrite_flag,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Phosphate_unit,Seawater Nutrients Concentration_Phosphate_unitUrl,Seawater Nutrients Concentration_Phosphate_flag,Seawater Nutrients Concentration_Silicate,Seawater Nutrients Concentration_Silicate_unit,Seawater Nutrients Concentration_Silicate_unitUrl,Seawater Nutrients Concentration_Silicate_flag,Seawater Chemical Properties_pH,Seawater Chemical Properties_pH_unit,Seawater Chemical Properties_pH_unitUrl,Seawater Chemical Properties_pH_flag,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Chemical Properties_Dissolved Oxygen concentration_unit,Seawater Chemical Properties_Dissolved Oxygen concentration_unitUrl,Seawater Chemical Properties_Dissolved Oxygen concentration_flag,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Downward PAR_unit,Seawater Optical Properties_Downward PAR_unitUrl,Seawater Optical Properties_Downward PAR_flag,Seawater Optical Properties_Turbidity,Seawater Optical Properties_Turbidity_unit,Seawater Optical Properties_Turbidity_unitUrl,Seawater Optical Properties_Turbidity_flag,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_DON_unit,Organic Matter Concentration (Amount or Mass)_DON_flag,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_POC_unit,Organic Matter Concentration (Amount or Mass)_POC_unitUrl,Organic Matter Concentration (Amount or Mass)_POC_flag,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_PON_unit,Organic Matter Concentration (Amount or Mass)_PON_unitUrl,Organic Matter Concentration (Amount or Mass)_PON_flag,Organism Concentration (Amount Volume or Mass)_Pigment concentrations,Organism Concentration (Amount Volume or Mass)_Pigment concentrations_unit,Organism Concentration (Amount Volume or Mass)_Pigment concentrations_unitUrl,Organism Concentration (Amount Volume or Mass)_Pigment concentrations_flag,Organism Concentration (Amount Volume or Mass)_Nano/Microplankton,Organism Concentration (Amount Volume or Mass)_Nano/Microplankton_unit,Organism Concentration (Amount Volume or Mass)_Nano/Microplankton_flag,ENA_BioSampleID,ENA_BioProjectID_TargetGene18S,ENA_BioProjectID_TargetGeneMG,ENA_BioProjectID_TargetGene16S
OSD170_2018-06,OSD170_2018-06_NPL022_1,OSD170_2018-06_1_NPL022,OSD170,2018-06-20T07:05:28Z,51.2706,2.9064,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 130,0.48,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,not provided,not provided,,,Sterivex in sterile tube,marine sample,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,on ship in -24 and after cruise in -86,17.08,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,32.16,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,41693.5,microS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,Given unit does not match required unit.,13.33381429,mg/m3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/,Given unit does not match required unit.,not provided,not provided,,,2.789999962,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,1.440000057,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.300000012,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.180000007,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.439999998,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392448,to be added,PRJEB40760,PRJEB40757
OSD171_2018-06,OSD171_2018-06_NPL022_1,OSD171_2018-06_1_NPL022,OSD171,2018-06-20T07:47:03Z,51.3085,2.8508,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 230,0.66,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,not provided,not provided,,,Sterivex in sterile tube,marine sample,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,on ship in -24 and after cruise in -86,16.85,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,32.42,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,41783.91667,microS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,Given unit does not match required unit.,10.46924167,mg/m3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/,Given unit does not match required unit.,not provided,not provided,,,1.230000019,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.50999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.150000006,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.07,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.180000007,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392447,to be added,PRJEB40760,PRJEB40757
OSD175_2018-06,OSD175_2018-06_NPL022_1,OSD175_2018-06_1_NPL022,OSD175,2018-06-20T10:46:48Z,51.3336,2.499,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site ZG02,1.02,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,not provided,not provided,,,Sterivex in sterile tube,marine sample,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,on ship in -24 and after cruise in -86,15.59,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,32.42,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,42580.16667,microS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,Given unit does not match required unit.,1.33605,mg/m3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/,Given unit does not match required unit.,not provided,not provided,,,0.330000013,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.059999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.02,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.02,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.150000006,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392446,to be added,PRJEB40760,PRJEB40757
OSD176_2018-06,OSD176_2018-06_NPL022_1,OSD176_2018-06_1_NPL022,OSD176,2018-06-20T11:36:53Z,51.277,2.612,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 215,0.9,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,not provided,not provided,,,Sterivex in sterile tube,marine sample,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,on ship in -24 and after cruise in -86,16.24,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,33.78,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,42765.4375,microS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,Given unit does not match required unit.,1.800025,mg/m3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/,Given unit does not match required unit.,not provided,not provided,,,0.449999988,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.100000001,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.02,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.029999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.109999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392445,to be added,PRJEB40760,PRJEB40757
OSD177_2018-06,OSD177_2018-06_NPL022_1,OSD177_2018-06_1_NPL022,OSD177,2018-06-20T12:59:23Z,51.1832,2.7011,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 120,0.6,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,not provided,not provided,,,Sterivex in sterile tube,marine sample,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,on ship in -24 and after cruise in -86,17.04,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,33.31,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,43000.93333,microS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,Given unit does not match required unit.,4.323266667,mg/m3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/,Given unit does not match required unit.,not provided,not provided,,,0.409999996,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.270000011,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.029999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.029999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.219999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392444,to be added,PRJEB40760,PRJEB40757
OSD178_2018-06,OSD178_2018-06_NPL022_1,OSD178_2018-06_1_NPL022,OSD178,2018-06-25T10:42:51Z,51.583,2.7942,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 435,0.6,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,not provided,not provided,,,Sterivex in sterile tube,marine sample,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,on ship in -24 and after cruise in -86,16.11,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,33.56,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,42389.9375,microS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,Given unit does not match required unit.,1.00426875,mg/m3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/,Given unit does not match required unit.,not provided,not provided,,,0.889999986,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.469999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.180000007,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.050000001,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.310000002,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392443,to be added,PRJEB40760,PRJEB40757
OSD179_2018-06,OSD179_2018-06_NPL022_1,OSD179_2018-06_1_NPL022,OSD179,2018-06-26T00:31:19Z,51.5697,2.2573,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site LW01,0.48,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,not provided,not provided,,,Sterivex in sterile tube,marine sample,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,on ship in -24 and after cruise in -86,14.88,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,34.73,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,42513,microS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,Given unit does not match required unit.,1.222205882,mg/m3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/,Given unit does not match required unit.,not provided,not provided,,,0.400000006,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.389999986,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.039999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.039999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,1.149999976,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392442,to be added,PRJEB40760,PRJEB40757
OSD180_2018-06,OSD180_2018-06_NPL022_1,OSD180_2018-06_1_NPL022,OSD180,2018-06-25T21:59:09Z,51.7999,2.5569,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site LW02,0.48,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,not provided,not provided,,,Sterivex in sterile tube,marine sample,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,on ship in -24 and after cruise in -86,14.67,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,34.7,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,42266.55556,microS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,Given unit does not match required unit.,1.1766,mg/m3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/,Given unit does not match required unit.,not provided,not provided,,,0.439999998,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.170000002,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.02,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.050000001,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.560000002,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392441,to be added,,PRJEB40757
OSD182_2018-06,OSD182_2018-06_NPL022_1,OSD182_2018-06_1_NPL022,OSD182,2018-06-26T01:27:04Z,51.4601,2.3519,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site W08,0.48,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,not provided,not provided,,,Sterivex in sterile tube,marine sample,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,on ship in -24 and after cruise in -86,15.42,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,34.53,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,42806.83333,microS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,Given unit does not match required unit.,2.077466667,mg/m3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/,Given unit does not match required unit.,not provided,not provided,,,0.49000001,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.270000011,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.029999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.02,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.379999995,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392440,to be added,PRJEB40760,PRJEB40757
OSD183_2018-06,OSD183_2018-06_NPL022_1,OSD183_2018-06_1_NPL022,OSD183,2018-06-25T21:10:44Z,51.7482,2.7011,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site W09,0.42,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,not provided,not provided,,,Sterivex in sterile tube,marine sample,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,on ship in -24 and after cruise in -86,15.09,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,34.57,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,42540.5,microS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,Given unit does not match required unit.,0.71753125,mg/m3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/,Given unit does not match required unit.,not provided,not provided,,,0.610000014,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.219999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.039999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.029999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.839999974,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392439,to be added,PRJEB40760,PRJEB40757
OSD184_2018-06,OSD184_2018-06_NPL022_1,OSD184_2018-06_1_NPL022,OSD184,2018-06-25T23:12:24Z,51.6847,2.4193,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site W10,0.42,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,not provided,not provided,,,Sterivex in sterile tube,marine sample,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,on ship in -24 and after cruise in -86,14.71,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,34.66,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,42263.11111,microS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,Given unit does not match required unit.,0.973994444,mg/m3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/,Given unit does not match required unit.,not provided,not provided,,,0.709999979,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.330000013,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.050000001,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.07,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.75999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392438,to be added,,PRJEB40757
OSD185_2018-06,OSD185_2018-06_NPL022_1,OSD185_2018-06_1_NPL022,OSD185,2018-06-26T02:04:34Z,51.4819,2.4512,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 421,0.42,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,not provided,not provided,,,Sterivex in sterile tube,marine sample,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,on ship in -24 and after cruise in -86,15.76,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,34.22,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,42802.91667,microS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,Given unit does not match required unit.,3.8874,mg/m3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/,Given unit does not match required unit.,not provided,not provided,,,0.460000008,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.569999993,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.029999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.02,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.059999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392437,to be added,PRJEB40760,PRJEB40757
OSD2_2018-06,OSD2_2018-06_NPL022_1,OSD2_2018-06_1_NPL022,OSD2,2018-06-22T12:45:00Z,48.7778,-3.9375,neritic epipelagic zone biome [ENVO:01000042], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,RV Neomysis,1,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,Hand pump,not provided,A few wind and sunny,5.25,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,50,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,Sterivex,particulate matter,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,13.52,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,34.94,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,4.140853,mS/cm,,,not provided,not provided,,,1,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,7.9404,dimensionless,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,,not provided,not provided,,,1680,photons/m^2/sec,http://vocab.nerc.ac.uk/collection/P06/current/UM2S/,Given unit does not match required unit.,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392482,to be added,PRJEB40760,PRJEB40757
