Rank	Taxonpath	Taxon	ERR1	ERR10	ERR11	ERR12	ERR13	ERR14	ERR15	ERR16	ERR17	ERR18	ERR19	ERR2	ERR20	ERR21	ERR22	ERR23	ERR24	ERR25	ERR26	ERR27	ERR28	ERR29	ERR3	ERR30	ERR31	ERR32	ERR33	ERR34	ERR35	ERR36	ERR37	ERR38	ERR39	ERR4	ERR40	ERR41	ERR42	ERR43	ERR44	ERR45	ERR46	ERR47	ERR48	ERR49	ERR5	ERR50	ERR52	ERR53	ERR54	ERR55	ERR56	ERR57	ERR58	ERR59	ERR6	ERR62	ERR63	ERR64	ERR65	ERR66	ERR67	ERR68	ERR7	ERR8	ERR9
superkingdom	Main genome;Bacteria;Tenericutes	Tenericutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	2	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;Actinobacteria	Actinobacteria	1	9	7	12	19	8	11	8	9	5	7	11	5	7	5	6	9	7	5	21	11	8	5	8	9	14	6	5	6	37	9	5	2	4	0	13	7	3	4	34	25	6	7	13	22	7	7	24	15	26	5	9	7	30	10	4	10	13	3	4	1	1	8	8	15
superkingdom	Main genome;Bacteria;Bacteroidetes	Bacteroidetes	9	106	61	100	82	79	85	64	83	63	59	59	55	72	54	95	90	86	32	61	94	66	58	37	147	67	134	55	64	65	90	46	54	30	7	100	90	12	54	36	65	56	82	97	86	43	39	21	18	52	11	71	77	98	52	20	54	80	79	91	1	6	62	60	116
superkingdom	Main genome;Bacteria;Firmicutes	Firmicutes	8	2	1	2	4	0	2	0	0	0	2	6	1	1	0	2	0	0	1	0	4	0	1	9	9	24	3	2	0	1	5	7	0	1	3	5	5	7	0	5	8	4	2	0	1	1	0	14	10	4	1	0	0	34	3	0	0	0	1	0	0	8	0	0	0
superkingdom	Main genome;Bacteria;Spirochaetes	Spirochaetes	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;Cyanobacteria	Cyanobacteria	2	4	1	1	4	2	1	1	2	1	5	1	3	1	1	3	2	1	1	7	6	2	6	7	3	1	2	7	2	13	4	8	6	3	0	9	5	1	2	9	5	6	4	6	8	9	7	6	2	5	7	9	7	5	7	6	2	3	2	1	1	2	2	5	4
superkingdom	Main genome;Bacteria;Synergistetes	Synergistetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;Verrucomicrobia	Verrucomicrobia	1	17	17	28	36	18	24	15	19	17	12	11	12	16	16	19	19	15	0	18	14	13	5	10	32	18	28	8	6	20	19	4	5	6	3	13	7	1	4	11	11	6	20	12	13	12	4	13	8	21	8	12	11	14	16	7	6	20	10	9	0	0	15	8	18
superkingdom	Main genome;Bacteria;Epsilonbacteraeota	Epsilonbacteraeota	0	2	0	2	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	19	2	1	0	17	1	14	1	0	1	5	1	0	0	0	4	1	0	0	0	0	2	2	4	1	0	0	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0
superkingdom	Main genome;Bacteria;Deinococcus-Thermus	Deinococcus-Thermus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;Chloroflexi	Chloroflexi	0	0	0	8	2	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	4	0	0	0	1	0	0	1	1	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;Patescibacteria	Patescibacteria	0	2	1	2	6	1	3	0	2	2	0	1	1	3	0	2	1	0	0	17	10	1	1	0	14	7	7	0	0	2	2	0	0	0	1	3	2	0	3	1	0	0	0	2	1	0	0	0	0	4	0	0	0	6	0	0	2	0	0	3	0	0	0	1	13
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	1	10	5	18	22	7	9	6	6	8	4	3	4	10	2	12	8	7	0	11	4	4	3	7	5	5	6	0	3	19	10	7	1	2	9	15	7	0	0	8	24	5	6	5	17	7	1	7	4	19	4	10	6	10	7	3	1	7	5	5	0	0	4	3	12
superkingdom	Main genome;Bacteria;Halanaerobiaeota	Halanaerobiaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;Chlamydiae	Chlamydiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4
superkingdom	Main genome;Bacteria;Gemmatimonadetes	Gemmatimonadetes	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
superkingdom	Main genome;Bacteria;Lentisphaerae	Lentisphaerae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;Fusobacteria	Fusobacteria	0	4	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	4	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	1	0	0	0	0	0	1	1	0
superkingdom	Main genome;Bacteria;Dependentiae	Dependentiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
superkingdom	Main genome;Bacteria;Armatimonadetes	Armatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	1	3	2	0	0	2	2	2	2	2	16	2	0	3	2	2	2	2	0	0	1	2	1	0	0	0	3	3	0	0	1	1	1	5	0	1	1	0	2	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	2	0	1	1	3	1	0	0	1	1	2
superkingdom	Main genome;Bacteria;Omnitrophicaeota	Omnitrophicaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;Latescibacteria	Latescibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;Hydrogenedentes	Hydrogenedentes	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
superkingdom	Main genome;Bacteria;Kiritimatiellaeota	Kiritimatiellaeota	0	1	3	10	10	3	5	2	2	0	3	0	1	0	1	1	2	0	1	1	4	1	1	0	7	2	7	1	0	1	0	2	1	1	0	1	1	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1
superkingdom	Main genome;Bacteria;Cloacimonetes	Cloacimonetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;Fibrobacteres	Fibrobacteres	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
superkingdom	Main genome;Bacteria;Acetothermia	Acetothermia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;Atribacteria	Atribacteria	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;BRC1	BRC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Bacteria;WPS-2	WPS-2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Archaea;Euryarchaeota	Euryarchaeota	0	4	2	2	2	4	3	3	1	3	5	1	2	4	4	4	4	4	0	1	1	2	0	0	2	5	3	0	3	0	2	0	0	1	25	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	2	0	0	3	0	4
superkingdom	Main genome;Archaea;Crenarchaeota	Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Archaea;Nanoarchaeaeota	Nanoarchaeaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast)	Cyanobacteria (Chloroplast)	0	22	14	20	18	26	19	10	18	13	20	17	10	26	11	26	24	13	2	12	39	41	25	2	19	11	17	39	25	31	26	10	14	28	0	21	30	6	14	15	2	11	47	19	14	23	5	5	5	3	2	18	18	18	34	4	18	22	37	43	1	2	20	11	45
superkingdom	Mitochondria;Bacteria (Mitochondrion);Proteobacteria (Mitochondrion)	Proteobacteria (Mitochondrion)	0	0	0	1	1	2	2	0	1	2	0	2	1	2	0	2	2	1	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	1	0	1	1	0	0	2	2	2	0	0	2	0	2	2	0	0	0	0	1
kingdom	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria	Gammaproteobacteria	21	49	48	70	62	43	58	40	52	37	59	30	33	50	31	61	48	50	18	39	61	46	40	26	104	50	97	38	23	31	55	27	38	27	12	54	50	22	26	12	35	33	39	48	33	21	39	9	7	27	6	34	26	63	32	8	27	41	45	51	0	20	34	24	60
kingdom	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria	Alphaproteobacteria	4	51	36	54	55	44	47	40	67	46	69	55	36	57	44	66	52	47	21	36	54	53	53	48	51	34	56	50	36	44	65	59	65	41	3	67	63	7	28	33	41	35	52	41	49	37	44	25	21	37	10	46	37	44	63	35	37	57	50	49	3	5	41	41	64
kingdom	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria	Deltaproteobacteria	0	3	5	21	19	3	9	9	9	3	6	1	2	4	3	8	6	6	0	14	5	2	2	0	13	3	9	2	0	7	6	1	3	7	4	9	2	0	1	0	8	3	1	5	6	5	1	0	0	5	0	7	3	9	1	2	2	3	4	2	0	0	1	1	11
kingdom	Main genome;Bacteria;Tenericutes;Mollicutes	Mollicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	2	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom)	Actinobacteria (kingdom)	1	4	2	4	6	3	5	3	4	1	1	5	1	3	1	1	2	2	5	11	7	4	3	8	3	2	2	3	3	17	5	2	1	1	0	6	2	2	1	17	9	4	3	7	11	6	4	21	15	4	5	5	5	18	5	4	6	6	0	1	1	0	4	3	5
kingdom	Main genome;Bacteria;Actinobacteria;Coriobacteriia	Coriobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Actinobacteria;Thermoleophilia	Thermoleophilia	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	1	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Actinobacteria;Acidimicrobiia	Acidimicrobiia	0	4	5	8	12	5	5	4	5	4	5	6	4	4	4	5	7	5	0	8	4	4	2	0	6	9	4	2	3	15	4	3	1	3	0	6	5	1	3	12	15	1	4	5	9	1	3	0	0	19	0	3	1	11	5	0	4	6	3	3	0	1	4	5	9
kingdom	Main genome;Bacteria;Actinobacteria;Rubrobacteria	Rubrobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Actinobacteria;Nitriliruptoria	Nitriliruptoria	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
kingdom	Main genome;Bacteria;Bacteroidetes;Bacteroidia	Bacteroidia	9	105	60	98	80	79	84	64	80	63	57	59	54	72	54	92	90	86	32	61	93	65	56	35	147	67	134	54	64	65	89	44	52	30	5	98	89	12	53	36	59	55	81	95	81	41	37	21	18	44	9	69	75	96	51	18	53	79	79	91	1	6	62	58	114
kingdom	Main genome;Bacteria;Bacteroidetes;Rhodothermia	Rhodothermia	0	1	1	1	1	0	0	0	3	0	2	0	1	0	0	3	0	0	0	0	1	1	2	2	0	0	0	1	0	0	0	2	2	0	2	2	1	0	1	0	5	1	1	1	4	2	2	0	0	8	2	2	2	0	1	2	1	1	0	0	0	0	0	2	2
kingdom	Main genome;Bacteria;Bacteroidetes;Ignavibacteria	Ignavibacteria	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Firmicutes;Bacilli	Bacilli	2	1	0	0	1	0	0	0	0	0	2	5	0	1	0	1	0	0	0	0	0	0	0	8	1	0	0	0	0	0	1	1	0	0	0	2	3	1	0	5	8	2	1	0	1	0	0	13	10	4	0	0	0	7	2	0	0	0	0	0	0	2	0	0	0
kingdom	Main genome;Bacteria;Firmicutes;Clostridia	Clostridia	3	0	1	2	3	0	2	0	0	0	0	1	1	0	0	1	0	0	1	0	4	0	1	1	8	22	3	1	0	0	4	6	0	1	3	3	2	3	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	17	1	0	0	0	1	0	0	3	0	0	0
kingdom	Main genome;Bacteria;Firmicutes;Erysipelotrichia	Erysipelotrichia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Firmicutes;Negativicutes	Negativicutes	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	3	0	0	0
kingdom	Main genome;Bacteria;Firmicutes;BRH-c20a	BRH-c20a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Spirochaetes;Spirochaetia	Spirochaetia	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Spirochaetes;V2072-189E03	V2072-189E03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Cyanobacteria;Oxyphotobacteria	Oxyphotobacteria	1	4	1	1	4	1	1	1	2	1	5	1	3	1	1	3	2	1	1	7	6	2	6	7	2	1	2	7	2	13	4	8	6	3	0	9	5	0	2	9	5	6	4	6	8	9	7	6	2	5	7	9	7	5	7	6	2	3	2	1	1	1	2	5	4
kingdom	Main genome;Bacteria;Cyanobacteria;Melainabacteria	Melainabacteria	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
kingdom	Main genome;Bacteria;Cyanobacteria;Sericytochromatia	Sericytochromatia	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Synergistetes;Synergistia	Synergistia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae	Verrucomicrobiae	1	17	17	28	36	18	24	15	19	17	12	11	12	16	16	19	19	15	0	18	14	13	5	10	32	18	28	8	6	20	19	4	5	6	3	13	7	1	4	11	11	6	20	12	13	12	4	13	8	21	8	12	11	14	16	7	6	20	10	9	0	0	15	8	18
kingdom	Main genome;Bacteria;Epsilonbacteraeota;Campylobacteria	Campylobacteria	0	2	0	2	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	19	2	1	0	17	1	14	1	0	1	5	1	0	0	0	4	1	0	0	0	0	2	2	4	1	0	0	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0
kingdom	Main genome;Bacteria;Deinococcus-Thermus;Deinococci	Deinococci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Acidobacteria;Acidobacteriia	Acidobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Acidobacteria;Thermoanaerobaculia	Thermoanaerobaculia	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Acidobacteria;Subgroup 6	Subgroup 6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Acidobacteria;Subgroup 17	Subgroup 17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Chloroflexi;Dehalococcoidia	Dehalococcoidia	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
